N;CN;COUNTRY;CSSSA LEGAL?;DATE OF DECRIM;MAX PENALTY;CONST.;BROAD PROT.;EMPLOY.;HATE CRIME;INCITEMENT;BAN CONV. THERAPIES;SAME SEX MARRIAGE;CIVIL UNIONS;JOINT ADOPTION;SECOND PARENT ADOPTION
1;1;Algeria;NO;-;2;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
2;2;Angola;YES;2021;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
3;3;Benin;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
4;4;Botswana;YES;2019;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
5;5;Burkina Faso;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
6;6;Burundi;NO;-;2;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
7;7;Cameroon;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
8;8;Cabo Verde;YES;2004;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
9;9;Central Africa Republic;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
10;10;Chad;NO;-;2;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
11;11;Comoros;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
12;12;Congo;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
13;13;C̫te d'Ivoire;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
14;14;DRC;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
15;15;Djibouti;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
16;16;Egypt;DE FACTO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
17;17;Equatorial Guinea;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
18;18;Eritrea;NO;-;7;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
19;19;Eswatini;NO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
20;20;Ethiopia;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21;21;Gabon;YES;2020;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
22;22;Gambia;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
23;23;Ghana;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
24;24;Guinea;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
25;25;Guinea-Bissau;YES;1993;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
26;26;Kenya;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
27;27;Lesotho;YES;2012;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
28;28;Liberia;NO;-;1;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
29;29;Libya;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
30;30;Madagascar;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
31;31;Malawi;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
32;32;Mali;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
33;33;Mauritania;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
34;34;Mauritius;NO;-;5;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
35;35;Morocco;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
36;36;Mozambique;YES;2015;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
37;37;Namibia;NO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
38;38;Niger;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
39;39;Nigeria;NO;-;VARIES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
40;40;Rwanda;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
41;41;Sao Tome & Principe;YES;2012;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
42;42;Senegal;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
43;43;Seychelles;YES;2016;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
44;44;Sierra Leone;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
45;45;Somalia;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
46;46;South Africa;YES;1998;-;YES;YES;YES;NO;YES;NO;YES;YES;YES;YES
47;47;South Sudan;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
48;48;Sudan;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
49;49;Tanzania;NO;-;FOR LIFE;NO;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO
50;50;Togo;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
51;51;Tunisia;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
52;52;Uganda;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
53;53;Zambia;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
54;54;Zimbabwe;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
55;1;Antigua and Barbuda;NO;-;15;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
56;2;Argentina;YES;1903;-;NO;LIMITED;LIMITED;YES;NO;LIMITED;YES;YES;YES;YES
57;3;Bahamas;YES;1991;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
58;4;Barbados;NO;-;FOR LIFE;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
59;5;Belize;YES;2016;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
60;6;Bolivia;YES;1832;-;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO
61;7;Brazil;YES;1831;-;NO;YES;YES;YES;YES;YES;YES;YES;YES;YES
62;8;Chile;YES;1999;-;NO;YES;YES;YES;NO;NO;NO;YES;NO;NO
63;9;Colombia;YES;1981;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
64;10;Costa Rica;YES;1971;-;NO;NO;YES;NO;NO;NO;YES;NO;YES;YES
65;11;Cuba;YES;1979;-;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO
66;12;Dominica;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
67;13;Dominican Republic;YES;1822;-;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
68;14;Ecuador;YES;1997;-;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO
69;15;El Salvador;YES;1826;-;NO;NO;LIMITED;YES;NO;NO;NO;NO;NO;NO
70;16;Grenada;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
71;17;Guatemala;YES;1834;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
72;18;Guyana;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
73;19;Haiti;YES;1791;-;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
74;20;Honduras;YES;1899;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
75;21;Jamaica;NO;-;10;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
76;22;Mexico;YES;1872;-;YES;YES;YES;LIMITED;YES;LIMITED;YES;LIMITED;LIMITED;LIMITED
77;23;Nicaragua;YES;2008;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
78;24;Panama;YES;2008;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
79;25;Paraguay;YES;1990;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
80;26;Peru;YES;1924;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
81;27;Saint Kitts & Nevis;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
82;28;Saint Lucia;NO;-;10;NO;NO;YES;LIMITED;NO;NO;NO;NO;NO;NO
83;29;Saint Vinc. & the Gren.;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
84;30;Suriname;YES;1869;-;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO
85;31;Trinidad and Tobago;YES;2018;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
86;32;Uruguay;YES;1934;-;NO;YES;YES;YES;YES;LIMITED;YES;YES;YES;YES
87;33;Venezuela;YES;1836;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
88;1;Canada;YES;1969;-;NO;YES;YES;YES;YES;LIMITED;YES;YES;YES;YES
89;2;United States;YES;1962-2003;-;NO;LIMITED;YES;YES;NO;LIMITED;YES;LIMITED;YES;YES
90;1;Afghanistan;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
91;2;Bahrain;YES;1976;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
92;3;Bangladesh;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
93;4;Bhutan;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
94;5;Brunei Darussalam;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
95;6;Cambodia;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
96;7;China;YES;1997;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
97;8;East Timor;YES;1975;-;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
98;9;India;YES;2018;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
99;10;Indonesia1;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
100;11;Iraq;DE FACTO;;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
101;12;Iran;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
102;13;Israel;YES;1988;-;NO;YES;YES;NO;LIMITED;NO;NO;YES;YES;YES
103;14;Japan;YES;1882;-;NO;LIMITED;LIMITED;NO;NO;NO;NO;LIMITED;NO;NO
104;15;Jordan;YES;1951;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
105;16;Kazakhstan;YES;1998;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
106;17;Kuwait;NO;-;7;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
107;18;Kyrgyzstan;YES;1998;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
108;19;Laos;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
109;20;Lebanon;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
110;21;Malaysia;NO;-;20;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
111;22;Maldives;NO;-;8;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
112;23;Mongolia;YES;1961;-;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO
113;24;Myanmar;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
114;25;Nepal;YES;2007;-;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO
115;26;North Korea;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
116;27;Oman;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
117;28;Pakistan;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
118;29;Philippines;YES;1870;-;NO;LIMITED;LIMITED;NO;NO;NO;NO;NO;NO;NO
119;30;Qatar;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
120;31;Saudi Arabia;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
121;32;Singapore;NO;-;2;NO;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO
122;33;South Korea;YES;NEVER CRIM;-;NO;LIMITED;LIMITED;NO;NO;NO;NO;NO;NO;NO
123;34;Sri Lanka;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
124;35;Syria;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
125;36;Tajikistan;YES;1998;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
126;37;Thailand;YES;1957;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
127;38;Turkmenistan;NO;-;2;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
128;39;Vietnam;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
129;40;United Arab Emirates;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
130;41;Uzbekistan;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
131;42;Yemen;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
132;1;Albania;YES;1995;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
133;2;Andorra;YES;1990;-;NO;YES;YES;YES;NO;NO;NO;YES;YES;YES
134;3;Armenia;YES;2003;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
135;4;Austria;YES;1971;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
136;5;Azerbaijan;YES;2000;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
137;6;Belarus;YES;1994;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
138;7;Belgium;YES;1795;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
139;8;Bosnia & Herzegovina;YES;1991-2003;-;NO;YES;YES;YES;LIMITED;NO;NO;NO;NO;NO
140;9;Bulgaria;YES;1968;-;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO
141;10;Croatia;YES;1977;-;NO;YES;YES;YES;YES;NO;NO;YES;NO;NO
142;11;Cyprus;YES;1998;-;NO;YES;YES;YES;YES;NO;NO;YES;NO;NO
143;12;Czech Republic;YES;1962;-;NO;YES;YES;NO;NO;NO;NO;YES;NO;NO
144;13;Denmark;YES;1933;-;NO;LIMITED;YES;YES;YES;NO;YES;NO;YES;YES
145;14;Estonia;YES;1992;-;NO;YES;YES;NO;YES;NO;NO;YES;NO;YES
146;15;Finland;YES;1971;-;NO;YES;YES;YES;YES;NO;YES;NO;YES;YES
147;16;France;YES;1791;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
148;17;Georgia;YES;2000;-;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO
149;18;Germany;YES;1968-1969;-;NO;YES;YES;NO;NO;YES;YES;NO;YES;YES
150;19;Greece;YES;1951;-;NO;NO;YES;YES;YES;NO;NO;YES;NO;NO
151;20;Hungary;YES;1962;-;NO;YES;YES;YES;YES;NO;NO;YES;NO;NO
152;21;Iceland;YES;1940;-;NO;YES;YES;NO;YES;NO;YES;NO;YES;YES
153;22;Ireland;YES;1993;-;NO;YES;YES;NO;YES;NO;YES;NO;YES;YES
154;23;Italy;YES;1890;-;NO;LIMITED;YES;NO;NO;NO;NO;YES;NO;NO
155;24;Latvia;YES;1992;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
156;25;Liechtenstein;YES;1989;-;NO;YES;YES;NO;YES;NO;NO;YES;NO;NO
157;26;Lithuania;YES;1993;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
158;27;Luxembourg;YES;1795;-;NO;YES;YES;NO;YES;NO;YES;YES;YES;YES
159;28;Malta;YES;1973;-;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
160;29;Moldova;YES;1995;-;NO;NO;YES;NO;YES;NO;NO;NO;NO;NO
161;30;Monaco;YES;1793;-;NO;NO;NO;YES;YES;NO;NO;YES;NO;NO
162;31;Montenegro;YES;1977;-;NO;YES;YES;YES;YES;NO;NO;YES;NO;NO
163;32;Netherlands;YES;1811;-;NO;YES;YES;LIMITED;YES;NO;YES;YES;YES;YES
164;33;North Macedonia;YES;1996;-;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO
165;34;Norway;YES;1972;-;NO;YES;YES;YES;YES;NO;YES;NO;YES;YES
166;35;Poland;YES;1932;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
167;36;Portugal;YES;1983;-;YES;YES;YES;YES;YES;NO;YES;YES;YES;YES
168;37;Romania;YES;1996;-;NO;YES;YES;YES;LIMITED;NO;NO;NO;NO;NO
169;38;Russia;YES;1993;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
170;39;San Marino;YES;2004;-;YES;YES;YES;YES;YES;NO;NO;YES;NO;YES
171;40;Serbia;YES;1994;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
172;41;Slovakia;YES;1962;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
173;42;Slovenia;YES;1977;-;NO;YES;YES;NO;YES;NO;NO;YES;NO;YES
174;43;Spain;YES;1979;-;NO;YES;YES;YES;YES;LIMITED;YES;YES;YES;YES
175;44;Sweden;YES;1944;-;YES;YES;YES;YES;YES;NO;YES;NO;YES;YES
176;45;Switzerland;YES;1942;-;NO;LIMITED;YES;NO;YES;NO;NO;YES;NO;YES
177;46;Turkey;YES;1858;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
178;47;Ukraine;YES;1991;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
179;48;United Kingdom;YES;1967-1982;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
180;1;Australia;YES;1975-1997;-;NO;YES;YES;LIMITED;YES;LIMITED;YES;YES;YES;YES
181;2;Fiji;YES;2010;-;YES;YES;YES;NO;LIMITED;LIMITED;NO;NO;NO;NO
182;3;Kiribati;NO;-;14;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
183;4;Marshall Islands;YES;2005;-;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
184;5;Micronesia;YES;NEVER CRIM;-;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
185;6;Nauru;YES;2016;-;NO;NO;NO;NO;NO;LIMITED;NO;NO;NO;NO
186;7;New Zealand;YES;1986;-;NO;YES;YES;YES;LIMITED;NO;YES;YES;YES;YES
187;8;Palau;YES;2014;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
188;9;Papua New Guinea;NO;-;7;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
189;10;Samoa;NO;-;7;NO;NO;YES;YES;NO;LIMITED;NO;NO;NO;NO
190;11;Solomon Islands;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
191;12;Tonga;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
192;13;Tuvalu;NO;-;14;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
193;14;Vanuatu;YES;NEVER CRIM;-;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
;;American Samoa (USA);YES;1980;-;N/A;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;Anguilla (UK);YES;2001;-;N/A;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
;;Aruba (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;NO;YES;NO;NO
;;Bermuda (UK);YES;1994;-;N/A;YES;YES;YES;YES;NO;NO;NO;YES;YES
;;Bonaire (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;YES;YES;NO;NO
;;British Indian Terr. (UK);YES;NEVER CRIM;-;N/A;NO;YES;NO;NO;NO;YES;NO;NO;NO
;;British Virgin Islands (UK);YES;2001;-;N/A;YES;YES;LIMITED;NO;NO;NO;NO;NO;NO
;;Cayman Islands (UK);YES;2001;-;N/A;NO;NO;NO;NO;NO;NO;YES;NO;NO
;;Cook Islands (NZ);NO;-;5;N/A;NO;YES;NO;NO;NO;NO;NO;NO;NO
;;Curacao (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;NO;NO;NO;NO
;;Falkland/Malv. (UK/AR);YES;1989;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Faroe Islands (DN);YES;1933;-;N/A;NO;YES;NO;NO;NO;YES;NO;YES;YES
;;French Guiana (FR);YES;1817;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;French Polynesia (FR);YES;NEVER CRIM;-;N/A;YES;YES;YES;YES;NO;YES;NO;YES;YES
;;Gibraltar (UK);YES;1993;-;N/A;YES;YES;YES;NO;NO;YES;YES;YES;YES
;;Greenland (DN);YES;1933;-;N/A;NO;NO;NO;YES;NO;YES;NO;YES;YES
;;Guadeloupe (FR);YES;1816;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Guam (USA);YES;1977;-;N/A;NO;YES;NO;NO;NO;YES;NO;YES;YES
;;Guernsey (UK);YES;1983;-;N/A;NO;NO;YES;NO;NO;YES;YES;YES;YES
;;Hong Kong (SAR China);YES;1991;-;N/A;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
;;Isle of Man (UK);YES;1992;-;N/A;YES;YES;YES;NO;NO;YES;YES;YES;YES
;;Jersey (UK);YES;1990;-;N/A;YES;YES;NO;NO;NO;YES;YES;YES;YES
;;Kosovo;YES;1994;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
;;Macau (China);YES;1996;-;N/A;NO;YES;NO;NO;NO;NO;NO;NO;NO
;;Martinique (FR);YES;1815;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Mayotte (FR);YES;NEVER CRIM;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Montserrat (UK);YES;2001;-;N/A;YES;YES;LIMITED;NO;NO;NO;NO;NO;NO
;;New Caledonia (FR);YES;NEVER CRIM;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Niue (NZ);YES;2007;-;N/A;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;North. Mariana Is. (USA);YES;1983;-;N/A;NO;LIMITED;NO;NO;NO;YES;NO;YES;YES
;;Palestine2;YES;1951;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;Pitcairn Islands (UK);YES;2001;-;N/A;YES;YES;YES;NO;NO;YES;YES;YES;YES
;;Puerto Rico (USA);YES;2003;-;N/A;NO;YES;YES;NO;YES;YES;NO;YES;YES
;;Reunion (FR);YES;1791;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Saba (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;YES;YES;NO;NO
;;Saint Barthelemy (FR);YES;1878;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Saint Martin (FR);YES;1791;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Saint Pierre et Miq. (FR);YES;1814;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
;;Sint Eustatius (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;YES;YES;NO;NO
;;Sint Maarten (NL);YES;1869;-;N/A;YES;YES;NO;YES;NO;NO;NO;NO;NO
;;South Georg. & Sand. (UK);YES;2001;-;N/A;NO;YES;NO;NO;NO;YES;NO;-;-
;;St. Helena, Asc., TdA (UK);YES;2001;-;N/A;YES;YES;NO;LIMITED;NO;YES;NO;YES;YES
;;Taiwan (China);YES;1912;-;NO;YES;YES;NO;NO;NO;YES;YES;NO;YES
;;Tokelau (NZ);YES;2007;-;N/A;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;Turks and Caicos (UK);YES;2001;-;N/A;YES;YES;NO;NO;NO;NO;NO;NO;NO
;;US Virgin Islands (USA);YES;1985;-;N/A;NO;NO;YES;NO;NO;YES;NO;YES;YES
;;Vatican City;YES;1890;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;Wallis and Futuna (FR);YES;NEVER CRIM;-;N/A;YES;YES;YES;YES;NO;YES;YES;YES;YES
